"attempt","index","effect","identity","theta","parameter_se","mean_deviation","simulation_sd","convergence_t","native_t","optimal_standardized_weight","signed_contribution_to_overall","reported_standardized_newton_step","phase3_lag1_correlation"
2,1,"dv.net :: constant dv.net rate (period 1)","dv.net|rate|Rate|||0|1",0.0472604786875576,0.0221272990609066,0.172,4.32633021545202,0.0397565584304408,0.0397565584304408,0.142525967418685,0.00566634195153605,-0.0298002771212848,0.0173969870399766
2,2,"dv.net :: constant dv.net rate (period 2)","dv.net|rate|Rate|||0|2",0.139083692745431,0.0335614020925797,-0.006,8.38536095098346,-0.000715532704563696,-0.000715532704563696,0.0212848078140718,-1.52299761013213e-05,0.00647426369132869,0.0639098052401728
2,3,"dv.net :: constant dv.net rate (period 3)","dv.net|rate|Rate|||0|3",0.431000203013509,0.0830872754798269,-0.164,12.071405171844,-0.0135858251517,-0.0135858251517,-0.0705235586821682,0.000958120737331591,0.0231599471261933,-0.00529993664104695
2,4,"dv.net :: constant dv.net rate (period 4)","dv.net|rate|Rate|||0|4",0.347584296714056,0.0531408495829419,-0.606,13.456665480194,-0.0450334446443609,-0.0450334446443609,-0.161428343094043,0.00726967435275648,0.0568041435176776,-0.0272590479499385
2,5,"dv.net :: constant dv.net rate (period 5)","dv.net|rate|Rate|||0|5",0.325025238392487,0.0632153071907606,0.59,11.4508961668082,0.0515243515795895,0.0515243515795895,0.233387343408279,0.0120251315359946,-0.0507880606084983,0.0318463506713831
2,6,"dv.net :: constant dv.net rate (period 6)","dv.net|rate|Rate|||0|6",0.320750377331523,0.0597158171291691,0.28,11.5467279749255,0.0242492938785809,0.0242492938785809,0.149742752704829,0.00363115601652708,-0.0216083930159045,-0.0530983475613062
2,7,"dv.net :: constant dv.net rate (period 7)","dv.net|rate|Rate|||0|7",0.396675087321364,0.0671149573964195,0.084,13.030838297928,0.00644624682460811,0.00644624682460811,-0.00226359600335447,-1.45916985488193e-05,-0.00182665613996758,0.0258536550755756
2,8,"dv.net :: constant dv.net rate (period 8)","dv.net|rate|Rate|||0|8",0.307416405205259,0.0537983717175283,-0.216,11.9746706316598,-0.0180380744192594,-0.0180380744192594,-0.0370580782233255,0.000668456372827082,0.0187187899069214,-0.0224373078618522
2,9,"dv.net :: constant dv.net rate (period 9)","dv.net|rate|Rate|||0|9",0.32872531339811,0.0548312457765071,1.222,12.646527217013,0.0966273174469651,0.0966273174469651,0.304130333618984,0.0293872982918529,-0.0905697701138092,-0.0188748146805623
2,10,"dv.net :: constant dv.net rate (period 10)","dv.net|rate|Rate|||0|10",0.27599975193824,0.049102091308029,0.312,11.4151198399737,0.027332170347212,0.027332170347212,0.127530701166541,0.00348569084878328,-0.0222559212556988,-0.0330369287691386
