"name","type","shortName","interaction1","interaction2","parm","period","group","groupName","rateType","basicRate","effect1","effect2","effect3","timeDummy","setting","index","theta_before","theta_after","observed_target","mean_deviation","t_ratio"
"dv.net","rate","Rate","","",0,"1",1,"Group1",NA,TRUE,0,0,0,",","",1,0.0470882207990354,0.0470882207990354,10,-0.103333333333333,-0.0239036509772583
"dv.net","rate","Rate","","",0,"2",1,"Group1",NA,TRUE,0,0,0,",","",2,0.139520329764014,0.139520329764014,34,0.256,0.0311572582527843
"dv.net","rate","Rate","","",0,"3",1,"Group1",NA,TRUE,0,0,0,",","",3,0.429740484890003,0.429740484890003,86,-0.456666666666667,-0.0370164333721172
"dv.net","rate","Rate","","",0,"4",1,"Group1",NA,TRUE,0,0,0,",","",4,0.347792721534046,0.347792721534046,94,-0.23,-0.016338630521991
"dv.net","rate","Rate","","",0,"5",1,"Group1",NA,TRUE,0,0,0,",","",5,0.323407920806069,0.323407920806069,76,0.208666666666667,0.0181628964478966
"dv.net","rate","Rate","","",0,"6",1,"Group1",NA,TRUE,0,0,0,",","",6,0.318320009185151,0.318320009185151,76,-0.279333333333333,-0.0237806183529451
"dv.net","rate","Rate","","",0,"7",1,"Group1",NA,TRUE,0,0,0,",","",7,0.397769015962525,0.397769015962525,94,0.130666666666667,0.010033187289644
"dv.net","rate","Rate","","",0,"8",1,"Group1",NA,TRUE,0,0,0,",","",8,0.308564220644212,0.308564220644212,78,-0.188666666666667,-0.0160053351594512
"dv.net","rate","Rate","","",0,"9",1,"Group1",NA,TRUE,0,0,0,",","",9,0.32688706768387,0.32688706768387,84,0.0426666666666667,0.00334030741902732
"dv.net","rate","Rate","","",0,"10",1,"Group1",NA,TRUE,0,0,0,",","",10,0.27452499634187,0.27452499634187,72,-0.042,-0.00356166858418366
"dv.net","rate","Rate","","",0,"11",1,"Group1",NA,TRUE,0,0,0,",","",11,0.322802081462104,0.322802081462104,84,0.241333333333333,0.0197718971487154
"dv.net","rate","Rate","","",0,"12",1,"Group1",NA,TRUE,0,0,0,",","",12,0.446394101216771,0.446394101216771,114,0.078,0.00532265751936853
"dv.net","rate","Rate","","",0,"13",1,"Group1",NA,TRUE,0,0,0,",","",13,0.353881176527947,0.353881176527947,94,-0.134,-0.0101646307341154
"dv.net","rate","Rate","","",0,"14",1,"Group1",NA,TRUE,0,0,0,",","",14,0.323601743722675,0.323601743722675,88,0.227333333333333,0.0176863358718447
"dv.net","rate","Rate","","",0,"15",1,"Group1",NA,TRUE,0,0,0,",","",15,0.289857744301206,0.289857744301206,80,0.374666666666667,0.0306587849784777
"dv.net","rate","Rate","","",0,"16",1,"Group1",NA,TRUE,0,0,0,",","",16,0.515942236853011,0.515942236853011,138,0.0606666666666667,0.00376655084489943
"dv.net","rate","Rate","","",0,"17",1,"Group1",NA,TRUE,0,0,0,",","",17,0.342149146081847,0.342149146081847,96,0.146666666666667,0.0108339548443487
"dv.net","rate","Rate","","",0,"18",1,"Group1",NA,TRUE,0,0,0,",","",18,0.396269800534186,0.396269800534186,112,-0.561333333333333,-0.037653286711706
"dv.net","eval","density","","",0,NA,1,"Group1",NA,FALSE,0,0,0,",","",19,-5.53739569272451,-5.53739569272451,5257,0.0863333333333333,0.00322549348231608
"dv.net","eval","transTriads","","",0,NA,1,"Group1",NA,FALSE,0,0,0,",","",20,0.158397450952701,0.158397450952701,7339,3.37699999999979,0.0372669014770294
"dv.net","eval","degPlus","","",1,NA,1,"Group1",NA,FALSE,0,0,0,",","",21,0.0572362230098831,0.0572362230098831,333172,89.3813333333333,0.0324474717484982
"dv.net","eval","X","nets.lndistance_d","",0,NA,1,"Group1",NA,FALSE,0,0,0,",","",22,-0.857614925085843,-0.857614925085843,-10629.6065515074,-2.36395902465368,-0.0354593497163023
"dv.net","eval","X","nets.ATOP_d","",0,NA,1,"Group1",NA,FALSE,0,0,0,",","",23,1.09313036834541,1.09313036834541,5960.4379238742,0.352467306543914,0.0104636902873897
